,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
3712923460_1b20ebb131.jpg,a bunch of people in camo pants run .,A group of men and woman wearing army pants and a white shirt are running .,A group of men in camouflage pants and white t-shirts are running in a drill yard .,A group of people in army pants running .,A group of people wearing army clothes run together down the street .
2921094201_2ed70a7963.jpg,"A man sits in an airplane seat holding a young girl in his arms , surrounded by other passengers .",A small girl wearing pink sleeps on a man 's lap as they ride in an airplane .,A young girl falls asleep in her father 's arms while seated on an airplane .,Little girl sleeping in crowded airplane,Young girl wearing a pink sweater sitting on a man .
3284955091_59317073f0.jpg,a long snowboarder jumping over a barricade outside in the snow .,A man is snowboarding over a caution sign .,A person doing a jump with their snowboard over a orange and white caution sign .,A person snowboarding and jumping over a construction sign .,A snowboarder jumping over a road warning .
3215108916_0473007b47.jpg,A group of people walking on the side of a railroad track .,A long view of a curving railroad track with a group of people off in the distance .,Looking along a railroad track at people in the distance .,"People are walking away from the camera , along railroad tracks .",People near railroad tracks in the woods .
3394654132_9a8659605c.jpg,A lady stand in front of a red truck holding her dog .,A woman carrying a black and white dog on a sidewalk in front of parallel parked cars .,A woman holding a white and black dog .,A young lady poses for photo with her dog .,Woman holding dog on street .
2925577165_b83d31a7f6.jpg,A minivan drives through a deep puddle of water on the road .,A minivan splashing through a flooded parking lot on a rainy night .,A rainy road at night .,Lights are reflecting off a city street in the evening during a rain storm .,"Minivan drives down wet urban street at night , splashing water ."
2661138991_d55aa0e5dc.jpg,A GI relaxes and waits at an airport .,A man dressed in military uniform sits down and looks through some papers .,A man in army fatigues is reading something while laying on the floor .,A soldier is looking out of a window .,The soldier looks out the window as he sits with his legs crossed .
3085973779_29f44fbdaa.jpg,A blond hair boy holding a toy airplane is in front of what looks like a colorful toy monster .,A boy standing in front of a multi-colored statue .,A child admires an exhibit or store window .,A child near a blue stage with a colorful creature on it .,Boy wearing a gray sweatshirt playing with a toy airplane .
3485486737_953f9d3be2.jpg,A man in the back of a van takes a picture of a yellow truck .,a man looking out the back of his car looking at a yellow van behind,A person riding in the back of one vehicle is looking down the road towards a yellow truck .,Photographer shooting picture of yellow bus .,Two people sit in shadow in the open back of a vehicle followed by another vehicle .
1141739219_2c47195e4c.jpg,A family gathered at a painted van,A girl climbing down from the side of a bright blue truck while others watch .,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .,A very colorful bus is pulled off to the side of the road as its passengers load .,Two women and four children standing next to a brightly painted truck .
1803631090_05e07cc159.jpg,A girl in a firefighter 's uniform looks back and says something .,"A woman is dressed in a "" fire department "" uniform .",A young female firefighter stands in front of a crowd .,The lady is wearing a blue fire department shirt .,The woman wearing a fire department uniform is talking to people .
211277478_7d43aaee09.jpg,A dirty jeep is stuck in the mud .,A Jeep goes off-roading in the woods with muddy trails making it dirty .,A muddy jeep driving through the forest .,A muddy truck in the woods .,The vehicle is driving through mud surrounded by pine trees .
3584603849_6cfd9af7dd.jpg,A blue plane does loops as it heads down to earth .,"A blue , red , and yellow airplane is flying through the air .","A blue , red , and yellow plane does a loop in the air .",A colorful aerobatic plane leaves a coiled trail of smoke behind it .,"A plane doing tricks in the air , leaving a smoke trail behind the plane ."
3706653103_e777a825e4.jpg,a bicyclist wearing a helmet jumping a trick on his back tire,A guy on his bike doing a truck on a rocky beach .,A man is performing a trick on a bicycle at a rocky beach .,A man on a white bike doing tricks on rocky ground .,A man pops a wheelie on a bike on a rocky beach .
3535304540_0247e8cf8c.jpg,A red airplane is leaving white smoke behind it .,A red airplane that has left behind a trail .,"A red biplane in the sky , with a trail of smoke .",A red bi-plane leaves a white trail in a blue sky .,A red biplane streaks across the sky leaving a white trail behind it .
542179694_e170e9e465.jpg,"A firetruck stops and makes a call at a bridge , where a man and his dogs are running .",A firetruck with ladder extended on the side of the road .,A jogger with a dog approaches a ladder truck .,A jogger with a dog running towards a firetruck with extended ladder on a road,A man walks on a sidewalk and a firetruck is nearby .
3659769138_d907fd9647.jpg,A plane flies with a cloud of smoke behind it .,A plane is diving through the sky creating a cloud of smoke behind it .,a small airplane flying through the air with lots of smoke coming out of the plane .,"A stunt plane is billowing smoke into a clear , grey sky .",The airplane is billowing smoke and looks like it may crash .
2661294969_1388b4738c.jpg,A float representing the times of hanging is shown in the back of a truck .,A man in a judge costume stand on a red truck and hangs a dummy .,Man dressed as a judge pretending to hang another man on top of a truck .,Three people in costumes stand on the back of a pickup truck .,Three people stand on the back of a truck .
524360969_472a7152f0.jpg,A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane .,a workers standing in the road holding a stop sign in front of another worker,Person holding stop sign to direct traffic .,Two construction workers holding signs interact on a street in front of a large truck .,Two flaggers chatting on a construction site .
3271061953_700b96520c.jpg,A group of people are riding in the back of a truck .,A group of warmly dressed people in the back of a truck .,A variety of folks in the back of a large wagon .,Many middle eastern people are sitting in the back of a blue truck .,People are riding in a crowded truck bed .
2409597310_958f5d8aff.jpg,A boy and a baby in a ridable truck .,Two children riding in a small child 's toy vehicle .,Two little boys are driving past adults in their toy jeep .,Two little boys ride in a toy truck .,Two little boys sit in a toy car on the grass .
429283612_37f6e7fb7f.jpg,A man and a woman looking at ruins .,Two people are observing some ruins .,Two people are standing on a hill overlooking rolling green grass .,Two people take in the view from a hillside .,Two tourists photograph a countryside and ruins
515797344_4ae75cb9b1.jpg,Men walking on city street with a yellow bus and two FedEx vehicles in the background .,some men crossing the street in a busy city,"Three men crossing a street , with trucks in the background .",Three men cross the street in front of a yellow truck .,Three men walking on a city street in front of a yellow bus and two FedEx trucks .
241374292_11e3198daa.jpg,A crowd of people standing in front of statues .,A group of people gather in front of plastic statues .,Group of people gathering around a parade float .,Several people are gathered by some statues .,Some people are gathered around a truck carrying some statues .
2504991916_dc61e59e49.jpg,A Lay 's potato chip truck at the end of a path and two people walking .,A woman has her arm around a man and they are walking towards a potato chip truck .,A woman in a tank top checks out the trailer decorated with potato chips .,Two people are walking towards a lays truck .,Two people walk toward a potato chip truck .
515755283_8f890b3207.jpg,A police officer posing with two army officers beside his motorcycle .,There are three policemen and a police motorcycle .,Three police officers next to a police motorcycle .,Three police officers pose with a motorcycle .,Two men in red berets pose with a motorcycle cop .
211981411_e88b8043c2.jpg,A hummer is driving through a mud puddle several feet deep .,An old dusty car is half way in the brown water .,An old jeep partially submerged in water,Dirty car in body of water,The dirty vehicle is caught in a flood .
3393343330_b13df4d8ec.jpg,A large man sits in a military accessories store .,A man in glasses is sitting behind a table laden with military memorabilia .,A man is sitting at a table full of military items and clothing .,A man sits at a table crowded with military merchandise .,Veteran shows off different things from a war .
3341077091_7ca0833373.jpg,A boy is airborne on his skateboard above a set of rails in an industrial setting .,A boy with a skateboard if jumping in the air along some railway tracks .,A man doing a skateboard trick over a railroad track .,A skateboarder does a kickflip along the train tracks .,A skateboarder doing a jump on train tracks .
1991806812_065f747689.jpg,a boxer punches a boxer in the face .,A fighter attempts to kick another fighter while the other fighter blocks his kick .,a kickboxer jumping for a kick,Two boxers are in the ring .,"Two men kickbox in a ring , one man punching the other ."
2862481071_86c65d46fa.jpg,A large yellow vehicle leads two others in a race .,A yellow truck with Casterol branding leads a white truck and blue truck down the road .,"trucks race around a racetrack , the yellow truck with the number five leads , followed by number 22 and number 29 .",Trucks race in an obstacle course .,Trucks racing
3682428916_69ce66d375.jpg,A person in an airplane .,A person sits inside a small plane on the ground .,a small jet takes off .,A small white plane with someone visible in the window is sitting on a runway .,"Small plane with spinning propeller on ground , pilot seen through windows ."
2621771656_09a620da6d.jpg,A crowd of people are standing behind a railing watching something in the distance .,A group of people wait behind a barricade and look toward the right .,A group of people wait behind a metal fence .,A group of people waiting outside a fenced in area .,A group of spectators enjoying an event .
3569420080_72fbe84751.jpg,A man in a uniform stands next to a girl with purple hair holding a cup .,A military uniformed man with a purple accented hair female standing on concrete .,A smiling man in naval officers uniform stands next to a woman with purple hair .,A woman with purple hair and a man in military regalia .,Man in uniform stands near woman with purple hair .
36422830_55c844bc2d.jpg,A four wheel drive car is navigating along a rocky off road trail .,A jeep sidewalks on some rocks .,A red jeep hangs from the edge of a rocky cliff as a girl looks on .,A red truck is driving over a rocky surface .,A woman stands next to a red SUV that has run off into a ditch .
2873431806_86a56cdae8.jpg,A child wearing pink boots is splashing in a puddle behind the red truck .,A kid jumps in a puddle .,A little girl in her rain boots jumps in a puddle .,A little girl is about to jump into a mud puddle with her flower rain boots .,A little girl wearing rain boots is jumping off the sidewalk into a puddle of muddy water .
3322443827_a04a94bb91.jpg,A man sits by a red building while smoking .,a man sits on a red building smoking a cigarette and drinking .,A man wearing a jacket sitting and smoking a cigarette,A well-groomed young man wearing dark trousers and a military-style jacket takes a puff from a cigarette in his left hand while holding a cup in his right hand .,This man is smoking outside .
2537119659_fa01dd5de5.jpg,A girl drives a toy truck while a young boy plays behind her,A little boy chases a little girl who is driving a red toy jeep .,A little girl rides a toy car while her brother walks behind .,A little girl with black sunglasses drives a 4x4 red Jeep while a little boy stands in the background dressed in blue .,A young boy in blue is chasing a young girl sitting in a play car .
3056569684_c264c88d00.jpg,A damaged ambulance is being hauled on a truck bed down the road .,A wrecked ambulance is being towed .,Recked ambulance being towed by a large tow truck .,The ambulance on the flatbed truck was in a collision .,Wrecked ambulance is being towed by a large truck .
3442978981_53bf1f45f3.jpg,Two fencers are in a bout in a white gym .,Two fencers practice together ; one jumps as the other crouches .,Two people are fencing .,Two suited fencers pointing their swords at each other .,Two sword fighters training .
3687996569_99163a41c3.jpg,"Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .","People are dressed in purple , blue , green , yellow , orange and red costumes for a parade .","Six people in bright mono-color costumes , each a different color , are walking down a street .",Six people walking in a parade wearing brightly colored outfits .,"Six women dressed in purple , blue , green , orange , and red , are waving to the crowd along the parade route ."
3726170067_094cc1b7e5.jpg,A balding man with glasses stands in front of a colorful display .,A bald man wearing glasses .,A man in a brown coat in front of a sign with a tree .,A man wearing glasses and a blazer stands in front of a billboard sign .,An older man is standing outside in front of a truck .
557721978_dfde31bc02.jpg,A girl jumping in a puddle .,A small girl jumps in a puddle .,Girl playing in a puddle with her bare feet .,Little girl jumping in water puddle,Young girl in red skirt jumping in water on a flooded street .
2228167286_7089ab236a.jpg,A baby with an airplane on his shirt sits in a high chair .,a boy sits in his seat .,A little boy in a beige outfit .,A toddler is sitting down .,"Toddler boy wearing airplane shirt , in stroller with large beads ."
2372572028_53b76104a9.jpg,A boy climbs into his toy car .,A child climbs into a go-kart .,A little boy in a blue coat is climbing into a red play truck .,a small boy in a blue jacket climbs into a power wheels vehicle,A small child wearing a blue coat climbing into a red toy car .
2890731828_8a7032503a.jpg,Firemen are battling a fire .,Firemen stand outside a burning building with lots of smoke .,The firefighters are just under the flames and smoke .,There is a group of firemen watching a huge fire in some buildings in the distance .,Three firefighters duck from fire and smoke coming from a building .
583087629_a09334e1fb.jpg,A girl is skipping across the road in front of a white truck .,A girl jumps rope in a parking lot .,A girls skips rope in a parking lot .,A little girl is jumping rope in a parking lot .,A young black girl jumpropes through a parking lot .
3057497487_57ecc60ff1.jpg,a closeup into a large unique type plan with a lone woman in the center .,A person sitting in an airplane display .,A woman is sitting in a white bi-plane that hangs from the roof of an air museum .,Ride with a model biplane .,The plane is hanging from the ceiling in the museum .
3587092143_c63030ed6d.jpg,The boxer wearing black gloves is kicking the boxer who is wearing grey gloves .,Two men are kickboxing .,Two men are kick boxing in a kick boxing ring .,Two men kick boxing .,Two MMA fighters spar in a ring .
2751694538_fffa3d307d.jpg,a man and boy sit in the driver seat .,A man holds a child on his lap while driving a truck .,A man sits with a little boy in the drivers seat of a jeep .,A young boy sits on the lap of a man behind the wheel of a vehicle .,The boy is sitting in the lap of the car 's driver and helping to steer .
1303550623_cb43ac044a.jpg,A girl in a tank top and jean capris stands on railroad tracks .,A girl is standing barefoot on the railroad tracks,a girl stands in the train tracks .,A young woman in jeans and a tank top standing on railroad tracks .,Girl is standing out on the train tracks .
3726120436_740bda8416.jpg,A man and woman sitting in chairs next to a turquoise truck .,An older couple chats near a bright colored car .,"There is a man and a woman sitting on folding chairs , outside next to a truck .",Two old people sitting in chairs talking in front of a hill .,Woman and man sit next to their green truck .
2665586311_9a5f4e3fbe.jpg,"A girl in pink pants running , an ornate Spanish ruin in the background .","The girl dressed in purple walks through the alley , followed by a girl in pink .",Two children within the ruins of a building .,"Two girls , one running away from the wall .",Two little girls play around an old abandoned building .
3470008804_0ca36a7a09.jpg,A bullfighter skewers his prey just as he 's hit by the bull .,A fancy outfitted bullfighter and bull .,A man stabs a bull in a bullfight .,a matador in white and gold clothing and pink sock is getting hit by a raging bull,The matador is struck by a charging bull as he stabs it with his swords .
1466307485_5e6743332e.jpg,A group of people pull a jeep stuck on a rock .,A man in an orange vest leans over a pickup truck .,A man in an orange vest trying to pull a vehicle which is attached to another vehicle out of a rocky area .,A person in a safety vest pushing a truck .,The white truck is stuck on the large rocks .
3217240672_b99a682026.jpg,A group of people ride down the road in a large tractor .,A tractor decorated as a float for a parade,A tractor pulling a wagon with a giant pumpkin covered in cloth and two wicker baskers on it drives down a road with people nearby .,Several people ride in a very odd looking truck .,Three men are driving a tractor that is carrying a huge brown object .
2420696992_22e0dd467d.jpg,A child in an orange shirt sitting on a blue and white toy car .,A little boy with an orange shirt is riding his blue and white toy car .,A small child on a blue toy is wearing an orange shirt .,A toddler boy is riding a push car designed as a police car in a home .,The boy is riding on a toy truck .
661546153_9d30db6984.jpg,A baby is in an activity chair in a child 's playroom .,A baby is in an bouncy seat with toys surrounding him .,A baby playing in a toy,a smiling baby is sitting in a white baby bouncer surrounded by toys .,Smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor
3424851862_0f51c42922.jpg,Three people are standing on the ruined building with their arms outstretched .,Three people climbing rocks .,Three people posing by a brick wall giving signs to the camera .,Three people posing for a camera,Three people standing on a stone wall .
2244024374_54d7e88c2b.jpg,A brown and a black and brown dog are playing in the water and the black one is carrying a long stick in its mouth .,A dog runs through the water with a stick while another dog stands there .,"Two dogs are running through a wet , grassy area and one is carrying a long stick .",Two dogs fight over a stick in a flooded field .,Two dogs playing in a flooded field with a stick .
2844641033_dab3715a99.jpg,A black boy in orange and white trucks on playing in the sand .,A black boy is sitting in the sand .,A boy plays in the sand .,A young child wearing a striped bathing suit sits on the sand .,The boy sits in the sand with no shirt .
2409312675_7755a7b816.jpg,A four wheel drive car is driving through the mud .,A monster truck gets stuck in a muddy hole .,An ATV attempts to get out of a ditch .,A truck climbs a muddy hill .,The truck appears to be stuck in the mud .
1303548017_47de590273.jpg,A girl poses on the train tracks near a station,A woman wearing a green shirt stands on the railroad tracks .,A young female in a green tank top and shorts standing in the middle of the railroad tracks .,Girl with green tank top standing in the middle of a train track with multicolor train cars to the right .,The girl with the green tank top and grey shorts is standing in the middle of the empty railroad track .
2998861375_02817e0147.jpg,A group of army members aim their guns .,military personnel dressed in fatigues and ear protection laying on their stomachs shooting guns .,Military personnel learning how to shoot their rifles .,Military personnel shoot rifles .,People dressed in camo are bent down getting ready to fire their guns .
3532412342_e0a004b404.jpg,A child rolls around in a large tire .,A little boy is in a tire,"Boy crouched and gesturing with hands , inside of a tire .",Child crouches in tire .,The child is sitting in a large truck tire .
3514188115_f51932ae5d.jpg,a boy and girl hold hands walking down a railroad track,A boy and girl hold hands as they walk on railroad tracks .,A boy in a striped shirt and a little girl in a blue dress walk hand in hand down the train track .,"Little girl and older male , holding hands and walking on train tracks .",The little girl in the blue dress is walking with a man along a railway track .
3426144752_28d63615ca.jpg,a little girl plays with a plane .,A young blonde boy holding a toy airplane .,A young blonde child holding an airplane .,The blonde haired child is holding the small plane .,The blond haired and blue eyed child holds the wooden airplane in his hands .
3052104757_d1cf646935.jpg,A black and green monster truck flying through the air .,A four wheeler jumping cars .,A giant monster truck leaps over crushed cars and into the air inside the arena .,A monster truck in the air above demolished cars .,A monster truck soars into the air at an arena .
394136487_4fc531b33a.jpg,A firefighter preparing to put a car fire out .,A firefighter responding to a car fire .,A fireman pulling out a firehose next to a blue car engulfed in flames .,The firefighter has a hose ready to tackle a car fire .,The fireman is pulling the hose to a car fire .
3652764505_87139e71f8.jpg,A blue building has smoke pouring out while a firetruck sits in front of it .,A blue building on fire with black smoke pouring out with a firetruck on the scene .,A large blue building has black smoke billowing out and a fire engine sits in front .,A man runs as a firetruck arrives to a fire .,A red truck is parked next to a burning blue building while a man in a green vest runs toward it .
3432656291_a6c7981f6e.jpg,A group of people are standing around a red firetruck .,A group of people are standing beside a firetruck .,A group of people in front of a red firetruck .,A group of people with a fire engine in the background .,A red firetruck is parked beside a group of people and kids standing in the street .
3504158556_1d410c8ff7.jpg,Some young boys hang out around their car .,Three men standing in front of a parked white care,Three teenage boys standing in front of a white car,Three young black men lean againest a white jeep .,Three young men lean on the front of a Toyota truck .
261883591_3f2bca823c.jpg,A man in a white hardhat is standing in front of a green truck .,A man wearing a hardhat stands in front of buildings not yet finished being built .,A worker looks off into the distance while a China Shipping crate sits behind him .,"Man with hardhat in black jacket stands near a green trailer that says "" CHINA SHIPPING "" in a construction zone .",The man is standing on the street surounded by buildings .
3566225740_375fc15dde.jpg,A convoy of military trucks are lined up in a lot .,A line of military trucks are passing by a soldier who is walking away .,A man in a military uniform is walking away from a line of military vehicles .,A military man walks away from a line of Army vehicles .,Army vehicles line up and a soldier walks near them .
3552796830_2dd2aa9c2c.jpg,Two men in camouflage pants are running past a parking lot .,Two men in camouflage pants are running past a parking lot .,Two men run through a parking lot wearing camouflage pants .,Two men wearing army pants are running next to a fence .,Two soldiers are running down a track .
2903617548_d3e38d7f88.jpg,A little baby plays croquet .,A little girl plays croquet next to a truck .,The child is playing croquette by the truck .,The kid is in front of a car with a put and a ball .,The little boy is playing with a croquet hammer and ball beside the car .
837893113_81854e94e3.jpg,A child throwing an orange toy .,A small child is near a Frisbee .,"A young boy tries to catch an orange and yellow Frisbee in a green , grassy field .",A young boy wearing a large hat reaches to catch a Frisbee .,A young boy wearing a military sun hat catches a Frisbee outdoors .
530454257_66d58b49ee.jpg,A boy in camouflage jacket notices several yellow ducks on display .,"A little boy , in a camouflage jacket , looks at a display of many yellow rubber ducks .",A young boy looks at a display of rubber ducks .,A young boy wearing army gear is picking up a rubber ducky in a market .,Small boy looking at a display of yellow rubber ducks .
2937178897_ab3d1a941a.jpg,People ride on the back of a vehicle .,Several people are riding on back and sides of a car .,Several people crowd on a truck going down the road,This vehicle has people hanging on the outside as it is driving down a road .,Three boys riding on the back of a truck .
1424775129_ffea9c13ab.jpg,A little boy walking on railroad tracks .,A little boy walks along railroad tracks in the woods .,little boy walking with stick on tracks,The little boy walks along the railroad tracks with his stick .,There is a little boy in a red jacket walking down the railroad tracks and holding a stick .
3150440350_b0f2a9e774.jpg,A man dressed in a military uniform bends over to speak to a person sitting on the sidewalk .,A man in sailor whites talks to a person seated on the ground .,a man sitting on the floor crying while another man is trying to comfort him .,A pilot is bending down to assist a man that is crying .,A sailor is checking on a man who is sitting on the ground crying .
3225037367_a71fa86319.jpg,A crowd of people in knit hats standing near a van .,A group of people are gathered together .,A group of people gather around a truck .,A large group of people are gathered .,There are a lot of people crowded around a blue sign .
3354414391_a3908bd4ff.jpg,Two dogs and a truck .,Two dogs on their hind legs interlocking their front legs .,Two dogs play on the grass .,"Two dogs , the white one standing on a Frisbee , playing together on grass .",Two furry tri-colored dogs playing in the grass .
3649384501_f1e06c58c0.jpg,A man in uniform wears a helmet with chin strap and red top .,a military guard is wearing a ceremonial gold helmet and is holding a sword .,The guard is wearing a helmet with a red tassel .,The stands at attention with a stoic face .,Young man in gold helmet with red fringe
2525666287_638ab5e784.jpg,soldiers 2 and civillians sitting on a bench at a busstop,"A man and a woman are waiting for a train , ignoring each other .",A man in blue jeans sits on a bench near a woman in green pants with a red and white bus behind them .,Five people are sitting on benches waiting for the bus .,Two people wait on a bench .
2544426580_317b1f1f73.jpg,A boy plays with a car .,Boy playing with a truck .,The baby in suspenders sits by a toy .,The little boy with the big brown eyes is touching the little car .,The toddler in suspenders plays with a truck .
514036362_5f2b9b7314.jpg,A girl wearing a black top is smiling with a silver truck in the background .,A woman in a black dress smiles in front of a silver truck .,A woman in a black shirt smiling front of a car,a woman wearing black stands in front of a pickup truck .,Smiling girl in front of a white truck .
2846785268_904c5fcf9f.jpg,A boy doing a trick on top of a guardrail on inline skates .,A person jumps onto a barrier .,A person wearing Rollerblades jumps over a yellow gate .,A young adult jumps on a yellow barricade .,Rollerblader grinding a yellow road barrier
3520617304_e53d37f0af.jpg,A military uniformed man performing a takedown maneuver on a similarly dressed man .,One Marine flips another one down .,One military man executes a combat move on another outside a gated facility .,One soldier throws another soldier with a shaved head onto the ground .,"Two military men practicing a "" take-down "" maneuver ."
3681172959_6674c118d2.jpg,A girl in a blue shirt is grinning and walking in a crowd or people .,A girl wearing a tight blue shirt and an army cap walks in a crowd .,A woman in a blue shirt with no bra .,A young woman with a green hat is walking in the busy street .,The young lady walks down the street on a beautiful day .
1351764581_4d4fb1b40f.jpg,A firefighter extinguishes a fire under the hood of a car .,a fireman spraying water into the hood of small white car on a jack,"A fireman sprays inside the open hood of small white car , on a jack .",A fireman using a firehose on a car engine that is up on a carjack .,Firefighter uses water to extinguish a car that was on fire .
2295216243_0712928988.jpg,A girl dances with adults in the sand .,a group of people dancing on a beach in front of a truck,Friends and family dance on a beach by their vehicles .,Many people dancing in a sandy desert .,Several people are dancing in some sand .
3582689770_e57ab56671.jpg,"Men , one walking , and one sitting balanced on a shaft .",One boys sits on a giant mortar gun as another boy walks toward him .,Two boys walk out on a military monument over grassy green fields .,Two people are on top of a cannon .,Two people are walking along a long cannon on a tank .
2750867389_4b815f793a.jpg,A man and a boy behind the wheel of a car .,A man drives a truck while a child sits on his lap and steers .,A man drives a vehicle with a child on his lap .,Man and little boy driving a large brown SUV .,There is a man with a small boy on his lap sitting in the drivers seat of a jeep .
3445296377_1e5082b44b.jpg,A girl in a pink snowsuit splashes into dirty flood water next to a picnic table .,A little girl dressed in pink is falling in water while another girl dressed in red watches .,a young child in a pink snow outfit falling into a puddle .,Two children play in the melting slush .,Two kids are dressed up and playing in the water .
3692593096_fbaea67476.jpg,Airplane emitting heavy red colored smoke .,An airplane is flying over the mountain trying to extinguish a fire .,A small plane is dropping a red chemical over the mountaintops .,Red spray is being ejected by an orange and white plane flying over the hilltops .,Small red airplane flies over mountaintop dropping red substance over fire .
3691800116_6a7b315e46.jpg,A batter playing cricket missed the ball and the person behind him is catching it .,A cricket player misses the pitch .,A man struck out playing cricket .,"A man wearing white , including shin guards , swings the bat in a cricket game .",The three men are playing cricket .
381052465_722e00807b.jpg,a firetruck fights a fire .,a yellow firetruck is parked next to a fire with a man on a ladder pouring water on it,Firefighters putting out a big fire .,Fireman fighting a fire .,People putting out a fire .
3480052428_c034b98a08.jpg,A family at a military camp,A small crowd watches military men in a tent area .,A woman holding a pitcher waits among others outside the opening of a tent .,People under a tent .,Two soldiers are going into a tent with men and women watching them .
3522025527_c10e6ebd26.jpg,A helicopter and a small plane are in the air .,A helicopter is flying behind a plane that is performing aerobatics .,A plane and a helicopter in the sky . houses seen underneat and people sitting .,A plane flying sideways .,Crowd watching airplane and helicopter in the sky .
224026428_0165164ceb.jpg,A child looks at a guard in red uniform from the other side of a fence,a little boy is watching a palace guard stand outside a little black hut .,A little boy looling over the fence at a guard standing in front of a black shed .,A little kid stands and looks at the military guard who is guarding a building .,A young boy stands and watches a British guardsman .
2410153942_ba4a136358.jpg,A man is in a truck that is lying on its side during a truck event .,A red and white car is overturned on a dirt track .,a red car has rolled over on a dirt track .,The vehicle is lying on its side with the driver inside .,This off-roading driver has tipped his truck .
3679341667_936769fd0c.jpg,two fighters kick boxing,"Two people kick boxing , with others spectating .",Two woman spar in a kickboxing match .,two women are kick boxing .,Woman kicking head of another kick boxer
399212516_d68046b277.jpg,A military man says hello to a group of children waving American flags .,a veteran in a brown uniform at a parade with children and American flags,Military official greets children who are waving American flags .,The man in the military uniform greets children waving American flags .,Young children waving American flags for a soldier
2088460083_42ee8a595a.jpg,A broken down hummer gets towed on a truck bed .,A damaged vehicle is carried by a repair truck in a night-time scene .,A flat bed truck in a parking lot with an army vehicle on its bed .,"An old , beat-up jeep being towed away .",Dirty SUV sits on the bed of a tow truck at night .
3256274183_4eab3b2322.jpg,A cadet is being taught how to properly stretch his right leg .,A man in military fatigues is assisting another man who is lying on the ground in front of a row of parked cars .,"A man on the ground near a row of cars , and another man standing holding the first man 's leg .",One man is helping another man get under a boundary line .,"Two men in combat fatigues , one grabs the other 's foot on grass near parking lot ."
2905975229_7c37156dbe.jpg,Airplane controller is outside white airplane .,A man sits in a glider cockpit on the landing strip .,Men are standing near a small plane on a runway .,the dashboard of a small plane .,"The gauges of a small flying vessel , with another plane and three people in the background ."
524310507_51220580de.jpg,A man in a large red truck .,A man in a red truck is staring out the driver-side window .,A man looks mysterious in a blue shirt and a red truck for a company called Wilbert .,A truck driver is looking out of the window of his purple truck .,The truck driver pauses for a photo opportunity .
